Unnamed: 0,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Production_in_quintals,Area_in_acres,Yield_quintals_per_acre
4901,andhra pradesh,kharif,jowar,80,40,40,5.46,654.34,29.26666666666667,54000,16556.035,3.2616505099197965
4902,andhra pradesh,kharif,moong,20,40,20,5.38,654.34,29.26666666666667,3000,1482.63,2.023431334857652
4903,andhra pradesh,kharif,rice,80,40,40,5.56,654.34,29.26666666666667,1698000,146286.16,11.60738650874423
4904,andhra pradesh,kharif,sesamum,30,15,30,6.4,654.34,29.26666666666667,8000,10378.41,0.7708309847076769
4905,andhra pradesh,kharif,sunflower,50,60,30,5.42,654.34,29.26666666666667,432000,138625.905,3.1163006654492174
4906,andhra pradesh,rabi,horsegram,20,60,20,6.08,288.3,25.46,2000,988.42,2.023431334857652
4907,andhra pradesh,rabi,jowar,80,40,40,5.56,288.3,25.46,18000,3953.68,4.5527205034297165
4908,andhra pradesh,rabi,ragi,50,40,20,5.42,288.3,25.46,11000,1482.63,7.419248227811389
4909,andhra pradesh,rabi,rice,80,40,40,5.34,288.3,25.46,416000,42007.85,9.902911003538623
4910,andhra pradesh,rabi,sesamum,30,15,30,6.5,288.3,25.46,1000,1235.525,0.8093725339430606
4911,andhra pradesh,rabi,sunflower,50,60,30,5.64,288.3,25.46,36000,35830.225,1.0047383179982825
4912,andhra pradesh,kharif,cotton,120,40,20,5.52,654.34,29.26666666666667,325000,102054.365,3.184577161398241
4913,andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666666666667,62000,7413.15,8.363516184078295
4914,andhra pradesh,kharif,moong,20,40,20,5.48,654.34,29.26666666666667,156000,61776.25,2.525242305902349
4915,andhra pradesh,kharif,rice,80,40,40,5.68,654.34,29.26666666666667,7599000,693870.84,10.951605921355624
4916,andhra pradesh,kharif,sunflower,50,60,30,5.38,654.34,29.26666666666667,9000,2965.26,3.035147002286477
4917,andhra pradesh,rabi,horsegram,20,60,20,5.84,288.3,25.46,3000,2965.26,1.0117156674288257
4918,andhra pradesh,rabi,maize,80,40,20,5.32,288.3,25.46,86000,4200.785,20.472364093853887
4919,andhra pradesh,rabi,moong,20,40,20,5.42,288.3,25.46,21000,7166.045,2.930486760828323
4920,andhra pradesh,rabi,rice,80,40,40,5.58,288.3,25.46,4912000,332356.225,14.779322998990017
4921,andhra pradesh,rabi,sesamum,30,15,30,6.32,288.3,25.46,4000,4200.785,0.9522029811094832
4922,andhra pradesh,kharif,cotton,120,40,20,5.58,654.34,29.26666666666667,1420000,379800.385,3.738806109951679
